TEXT,ATTACK,NUMBER_OF_ERRORS,ID_ERRORS
"Friendly staff, same starbucks fair you get anywhere else.  Sometimes the lines can get long.",BERTAttackLi2020,0,[]
Good quality pork fried dumpling and mongo beef.  Bar service was fast and Efficent.   Good value.  Not a 5 cause dragon eye tea was cold first time around and beef had minor amount of fat.   Fortune was even Postive!,BERTAttackLi2020,0,[]
"Very bad purchase experience. I bought a shirt with a hole covered in the rolled up sleeves, but they denied my request to return it. I am so angery at this and will never shop their chothes anymore.",BERTAttackLi2020,0,[]
Love this beer distributor.  They always have what I'm looking for. The workers are extremely nice and always willing to help. Best one I've seen by far.,BERTAttackLi2020,0,[]
I went there today! The cut was terrible! I have an awful experience. They lady that cut my hair was nice but she wanted to leave early so she made a disaster in my head!,BERTAttackLi2020,0,[]
"I'm a creature of habit--I've been getting a savory and sweet item each time I'm around the neighborhood. White lily cake is divine! Quiches always tasty. Macarons are alittle too sweet. I wish the cake slices weren't $4/pop. Otherwise, would be a regular here.",BERTAttackLi2020,0,[]
"Overpriced, salty and overrated!!! Why this place is so popular I will never understand.",BERTAttackLi2020,0,[]
"This Valentines Day I ordered a pizza for my boyfriend and asked that they make a heart on it out of green peppers. The pizza was great, the heart was perfect, and he loved it!",BERTAttackLi2020,0,[]
"Fun bar, and instead of typical bar food they lean towards Greek dishes. The blue grass jam on Wednesdays is a lot of fun and not too loud to still enjoy a conversation. Decent beer prices, pretty good selection.",BERTAttackLi2020,0,[]
"First time customer today.  It is truly a dive but the sandwiches are great.  Large portions, fresh bread and cheap...",BERTAttackLi2020,0,[]
"Seattle may have just won the 2014 Super Bowl, but the Steelers still rock with six rings, Baby!!! Just stating what all Steeler fans know: a Steel Dynasty is still unmatched no matter what team claims the title of current Super Bowl Champs.. Go Steelers!!!",BERTAttackLi2020,0,[]
I will never forget Campiti's. As a youngster growing up playing on Potomac Avenue and Dormont. My favorite pizza was and still is Campiti's. I have not found an equal in the 18 years I have been in CA. The hoagies were pretty damn good too.,BERTAttackLi2020,0,[]
got the buffet pizza was good they also give you free soup to .,BERTAttackLi2020,0,[]
"Cons:\n* Very cramped space, aisles are so narrow that you have to carry your case sideways.\n* Only a few items were priced with signs hanging above them.\n* No shopping carts.\n\nPros:\n* Decent selection\n* Chilled section",BERTAttackLi2020,0,[]
"Something different here.\n\nFood, schmood, go there and drink the beers from the beer cave.  I don't think you have to wait for the server to open your beer, they'll notice and charge your accordingly.  It's all walk in and self service beer, why don't more places do that?!\n\nMike",BERTAttackLi2020,0,[]
Food is delicious and staff is very prompt.  \n\nThe one thing I absolutely love about this restaurant is how clean the bathroom is!!!  I was completely stunned and amazed when I walked in.,BERTAttackLi2020,0,[]
I got two pairs of shoes fixed here recently and I was very pleased with the work done and the cost.  It is a great little business to have in the neighborhood! \nMake sure you call and check their hours... Saturdays are probably your best bet.,BERTAttackLi2020,0,[]
The worst pulled pork sandwich I have ever had.    Their watermelon mixed drink was very good though.  I won't be returning.,BERTAttackLi2020,0,[]
"Very nice cheap quick bus service to airport. (28X).  but i think i've found out what happens to all the old buses in Seattle, they are shipped to Pittsburgh, old polluting diesel buses seem to be the norm.\n\nthey also run the inclines, which are pretty cool if not old.",BERTAttackLi2020,0,[]
"The store is small, but it carries specialties that are difficult to find in Pittsburgh. I was particularly excited to find middle eastern chili sauce and chocolate covered Turkish delights.",BERTAttackLi2020,0,[]
Salami and cheese is so amazing. Best food in the city!,BERTAttackLi2020,0,[]
a classic. nothing else to say,BERTAttackLi2020,0,[]
"This place holds a nostalgic appeal for people born and raised in Pittsburgh who grew up eating here. If that experience is what your looking for, please visit. If you're looking for a tasty meal, go somewhere else. 5 stars for history, 0 for food quality and flavor.",BERTAttackLi2020,0,[]
love the lobster roll.  buttery delicious stuff.  the crab/spin/artichoke dip was also yummy.  i'll go back and try other dishes.  so far so good,BERTAttackLi2020,0,[]
The people aren't lying. This lobster roll is drenched in butter and guaranteed to be a key contributor in your untimely death. You better love it or leave it alone.,BERTAttackLi2020,0,[]
"Worst Brazilian wax I have ever gotten. Extremely Painful and inefficient, still had a red welt 3 days later. She also used the same stick the entire time which is not sanitary. Eyebrow waxing is significantly overpriced at $18. Do not go here for waxing!",BERTAttackLi2020,0,[]
"The cheese counter and \""""Dear Heart\"""" really are treasures.  They have all manner of fancy aged gruyeres, tons of olives, and even some sort of disgusting concoction called \""""pepperoni cheese\"""".  In any case, the place is all kinds of old-world beautiful.  Shelf after shelf of yummy goods, Italian imports...yum.",BERTAttackLi2020,0,[]
