TEXT,ATTACK,NUMBER_OF_ERRORS,ID_ERRORS
"a staff, same starbucks fair you get anywhere else.  some the lines can get long.",BERTAttackLi2020,0,[]
Good standard pork fried dumpling and mongo beef.  Bar service was fast and Efficent.   Good value.  Not a 4 share dragon eye tea was cold first time around and beef had minor amount of fat.   what was of Postive!,BERTAttackLi2020,0,[]
"Very great purchase experience. we bought a clothes with a hole covered in the crossed up sleeves, but they denied my wish to change it. she am so angere at this and will never shop their chothes lot.",BERTAttackLi2020,2,"['A_NNS_IN', 'PERS_PRONOUN_AGREEMENT']"
hate this beer company.  there always have what I'm looking for. The workers are extremely nice and always willing to help. last one I've been by far.,BERTAttackLi2020,0,[]
I went there today! The cut was great! I have an awful experience. They lady that cut my cut was nice but she wanted to leave earlier so she made a thing in my head!,BERTAttackLi2020,0,[]
"I'm a creature of habit--i't been getting a savorty and sweet item each time I'm around the neighborhood. White lily cake is sweet! quimes have tabite. macaros are lin too sweet. I wish the cake bites weren't $4/pop. Otherwise, would be a delight here.",BERTAttackLi2020,0,[]
"Overpriced, delicious and overall!!! Why this place is so popular I will never understand.",BERTAttackLi2020,0,[]
"the Valentines Day I ordered a pizza for my boyfriend and asked that they put a heart on it out of green peppers. The salad was great, the tomato was horrible, and he loved it!",BERTAttackLi2020,0,[]
"to bar, and way of typical bar food they lean towards Greek dishes. The blue grass jam on Wednesdays is a lot of fun and not too loud to even enjoy a conversation. Decent beer prices, pretty good selection.",BERTAttackLi2020,0,[]
"only time customer today.  It is truly a dive but the ribs are good.  Large fish, fresh bread and cheap...",BERTAttackLi2020,0,[]
"Seattle may have just won the 2014 Super Bowl, but the Steelers might stick with six rings, darling!!! Just stating what all Steeler fans know: a Steel era is still unmatched no matter what team claims the title of current Super Bowl Champs.. Go Steelers!!!",BERTAttackLi2020,0,[]
I will not memory campiti'jr. like a youngster growing up playing on Potomac Avenue and Dormont. i favorite joe was and still is Campiti's. and have not found an successor in the 18 years I have been in CA. those hoagiers were pretty damn good too.,BERTAttackLi2020,1,['PRP_MD_NN']
i the buffet pizza was good they did give you like soup to .,BERTAttackLi2020,0,[]
"Cons:\n* Very tight space, shops are so broad that you have to carry your case back.\n* Only a few items were priced with signs hanging above them.\n* No shopping carts.\n\nPros:\n* Decent selection\n* Chilled section",BERTAttackLi2020,0,[]
"Something different here.\n\nFood, schmoid, go there and drink the beers from the beer cave.  I don't think you have to wait for the server to open your beer, they'll notice and charge your accordingly.  It's all walk in and self service beer, why don't more places do that?!\n\nMike",BERTAttackLi2020,0,[]
Food is delicious and staff is very prompt.  \n\nThe one thing I absolutely love about this restaurant is how clean the bathroom is!!!  I was completely stunned and shocked when I walked in.,BERTAttackLi2020,0,[]
s had two heels of sandals fixed here recently and I was very excited with the service the and the money.  that is a great little business to have in the section! \nMake sure you call and check their hours... these are probably your best bet.,BERTAttackLi2020,0,[]
and best pulled pork sandwich I have ever had.    Their watermelon mixed bar was very great too.  I won't be returning.,BERTAttackLi2020,0,[]
"Very not cheap quick bus service to airport. (28X).  but i think i've found out what happens to all the old buses in Seattle, they are shipped to Pittsburgh, old polluting diesel buses seem to be the norm.\n\nthey also run the inclines, which are pretty cool if not old.",BERTAttackLi2020,0,[]
"The store is small, but it carries specialties that are difficult to find in Pittsburgh. I was particularly excited to visit middle eastern chili sauce and chocolate covered Turkish delights.",BERTAttackLi2020,0,[]
salsalad and bread is so and. most food in the night!,BERTAttackLi2020,0,[]
a classic. nothing to to say,BERTAttackLi2020,0,[]
"This place holds a nostalgic appeal for people born and raised in Pittsburgh who grew up eating here. If that experience is what your looking for, please visit. If you're looking for a tasty meal, go somewhere else. 5 stars for history, a for food quality and flavor.",BERTAttackLi2020,0,[]
miss the lobster roll.  buttery french stuff.  the crab/spin/artichoke dip was also good..  ithel go home and try other ways.  so gone so good,BERTAttackLi2020,1,['ADVERB_VERB_ADVERB_REPETITION']
The people aren't lying. This lobster roll is drenched in butter and guaranteed to be a key factor in your untimely death. You better love it or leave it alone.,BERTAttackLi2020,0,[]
"best bahia plaster we have ever gotten. Extremely Painful and inefficient, still had a red wespot 3 days later. She also took the same cane the most day which is not sanitary. Eyebrow waxing is significantly overpravailablet at $18. Do not go here for waxing!",BERTAttackLi2020,0,[]
"The cheese counter and \""""Dear Heart\"""" really are museums.  them have all manner of fancy aged cheeseuyribs, pounds of oliveproducts, and even some sort of disgusting concoction called \""""pepperoni cheese\"""".  In any case, the place is all sort of old-world beautiful.  Shelf after shelf of yummy goods, Italian imports...yum.",BERTAttackLi2020,0,[]
"have the pasta company, you won't regret it.  Big heaped portions of it cooked delivered to your dinner as soon as you have space available. eh.  And we went on a Saturday floor with no guests and we'm seated in 5 moments.",BERTAttackLi2020,0,[]
"nice address, Front Desk Staff were very personable. Be alert to hear artillery from PNC Park it is right off the river. have is a garage marina cross the street with very right marina. My husband and was had a big party here.",BERTAttackLi2020,0,[]
Really great quality and not overpriced. come should make much different choices.They do not do to a high standard of function.\ntyour rooms are not worth the money.,BERTAttackLi2020,1,['MUCH_COUNTABLE']
A common place with few fishermen.  this is fish only. The clam chowder was meaty and butter.  The potato ring were crisps and so was the fish. A nice table to see local flair,BERTAttackLi2020,0,[]
"a spot for weird or obscure parts, general maintenance items, and to  borrow a wrench or two.  this is like a wise old uncle.   I remember going there for my first time in the early 90's and it hasn't changed in almost 20 years.",BERTAttackLi2020,0,[]
"The last 3 or so times I've visited, they've been closing 15 minutes early.\n\nOn the plus side, I've discovered I look damn good with longer style.",BERTAttackLi2020,0,[]
I am in town for work and I decided to order food from here. The food was great! I ordered the People's Special Biryani and they brought the food right to my hotel room. I will not order from here again the next time I'm in town.,BERTAttackLi2020,0,[]
"Tram has great phop, and enough of it to sustain all of carnegie when the next fake ofazaccident rolls around.",BERTAttackLi2020,0,[]
"the, friendly, expensive.  Nice stop before an evening out.  I need to head there primetime to assess the evening vibe.  Will be c.",BERTAttackLi2020,0,[]
"the waitressies are different.\nthy kitchen is aguegood (at mostly).\nthe place is a total suck.\n\nhowever, it's open mid, and the cook with the mustache is ray.  also, you met the funniesbest everybody ever there.",BERTAttackLi2020,1,['BE_NN']
